Time,BaroRetard(s),AirSpeedRetard(s),BaroAltitude(m),AirSpeed(m/s),BaroStandardDeviation(m),AirSpeedStandardDeviation(m/s),StatusAirData,Secondes,TSmilli,Compteur100hz
1379630.0,0.00800000037997961,0.00800000037997961,157.9129638671875,0.25,1.0,0.25,67.0,39706.0,0.0,681041.0
1379632.0,0.00800000037997961,0.00800000037997961,157.9129638671875,0.25,1.0,0.25,67.0,39706.0,0.0,681042.0
1379634.0,0.00800000037997961,0.00800000037997961,157.9129638671875,0.25,1.0,0.25,67.0,39706.0,0.0,681043.0
1379636.0,0.00800000037997961,0.00800000037997961,157.9129638671875,0.25,1.0,0.25,67.0,39706.0,0.0,681044.0
1379638.0,0.00800000037997961,0.00800000037997961,158.6739501953125,0.25,1.0,0.25,67.0,39706.0,0.0,681045.0
1379640.0,0.00800000037997961,0.00800000037997961,158.6739501953125,0.25,1.0,0.25,67.0,39706.0,0.0,681046.0
1379642.0,0.00800000037997961,0.00800000037997961,158.6739501953125,0.25,1.0,0.25,67.0,39706.0,0.0,681047.0
1379644.0,0.00800000037997961,0.00800000037997961,158.6739501953125,0.25,1.0,0.25,67.0,39706.0,0.0,681048.0
1379646.0,0.00800000037997961,0.00800000037997961,158.6739501953125,0.25,1.0,0.25,67.0,39962.0,0.0,681049.0
1379648.0,0.00800000037997961,0.00800000037997961,157.70156860351562,0.25,1.0,0.25,67.0,39962.0,0.0,681050.0
1379650.0,0.00800000037997961,0.00800000037997961,157.70156860351562,0.25,1.0,0.25,67.0,39962.0,0.0,681051.0
1379652.0,0.00800000037997961,0.00800000037997961,157.70156860351562,0.25,1.0,0.25,67.0,39962.0,0.0,681052.0
1379654.0,0.00800000037997961,0.00800000037997961,157.70156860351562,0.25,1.0,0.25,67.0,39962.0,0.0,681053.0
1379656.0,0.00800000037997961,0.00800000037997961,157.70156860351562,0.25,1.0,0.25,67.0,39962.0,0.0,681054.0
1379658.0,0.00800000037997961,0.00800000037997961,157.32107543945312,0.25,1.0,0.25,67.0,39962.0,0.0,681055.0
1379660.0,0.00800000037997961,0.00800000037997961,157.32107543945312,0.25,1.0,0.25,67.0,39962.0,0.0,681056.0
1379662.0,0.00800000037997961,0.00800000037997961,157.32107543945312,0.25,1.0,0.25,67.0,39962.0,0.0,681057.0
1379664.0,0.00800000037997961,0.00800000037997961,157.32107543945312,0.25,1.0,0.25,67.0,39962.0,0.0,681058.0
1379666.0,0.00800000037997961,0.00800000037997961,157.32107543945312,0.25,1.0,0.25,67.0,39962.0,0.0,681059.0
1379668.0,0.00800000037997961,0.00800000037997961,157.33956909179688,0.25,1.0,0.25,67.0,39962.0,0.0,681060.0
1379670.0,0.00800000037997961,0.00800000037997961,157.33956909179688,0.25,1.0,0.25,67.0,39962.0,0.0,681061.0
